"pk_population","pop_cod","country_pop","pk_species","kingdom","genus","species","subspecies","metapop","community","pk_init_info","init_info","init_info_en","publication","last_admin_check","most_recent_data","potentials","general_rem","pk_reason","reason","reason_en","justif_details","extinct_yr","extinct_yr_interval","pk_rescue","rescue","rescue_en","objectives","context_rem","pk_transloc","transloc","transloc_en","pk_altern","altern","altern_en","pk_reinfor","reinfor","reinfor_en","pk_clust","clust","clust_en","pk_separation","separation","separation_en","first_release","precision_first","last_release","precision_last","pk_phase","phase","phase_en","fk_multisite","fk_multi_sp","typ_rem","lat_pop","long_pop","lieu_dit","loc_rem","dist","pk_origin","origin","origin_en","pk_connex","connex","connex_en","isol_caus","pop_hab","pk_protec_first","protec_first","protec_first_en","pk_protec_last","protec_last","protec_last_en","pk_protec_csq","protec_csq","protec_csq_en","sit_rem","pk_legal_protect","legal_protect","legal_protect_en","pk_div_stag","div_stag","div_stag_en","pk_birth","birth","birth_en","pk_div_orig","div_orig","div_orig_en","biol_rem","pk_prep_hab","prep_hab","prep_hab_en","time_exsitu","pk_stage_change","stage_change","stage_change_en","pk_gen_prog","gen_prog","gen_prog_en","pk_increase","increase","increase_en","increase_meth","pk_env_conditioning","env_conditioning","env_conditioning_en","pk_sub_pops","sub_pops","sub_pops_en","pk_tech_det","tech_det","tech_det_en","pk_temp_spread","temp_spread","temp_spread_en","nb_releases","tot_nb","meth_rem","obs_max","pk_pop_abundance","pop_abundance","pop_abundance_en","pk_time_series","time_series","time_series_en","pk_founder_demo","founder_demo","founder_demo_en","pk_descend_demo","descend_demo","descend_demo_en","pk_pva","pva","pva_en","monit_rem","pk_founder_repro","founder_repro","founder_repro_en","pk_descend_repro","descend_repro","descend_repro_en","pk_dispersal","dispersal","dispersal_en","pk_ecosyst_csq","ecosyst_csq","ecosyst_csq_en","pk_ses_csq","ses_csq","ses_csq_en","det_csq","res_rem","pk_pop_eval","pop_eval","pop_eval_en","pk_experim_eval","experim_eval","experim_eval_en","pk_ecosyst_eval","ecosyst_eval","ecosyst_eval_en","pk_ses_eval","ses_eval","ses_eval_en","mortality","pk_user","firstname","lastname","date_creation","date_modif","geom_pop","pop_protected"
321,"Castfibe-003","Austria",43,"Animalia","Castor","Castor fiber","---",NULL,NULL,3,"Requête","Request","true",2018,2015,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,67,"Réintroduction","Reintroduction",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1977,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3,"Aïssa","Morin","2018-05-25 12:43:00","2018-05-25 12:57:00",NULL,NULL
244,"Melemele-002","Netherlands",32,"Animalia","Meles","Meles meles","---",NULL,NULL,3,"Requête","Request","true",2018,1996,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,67,"Réintroduction","Reintroduction",71,"Réintroduction","Reintroduction",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1992,NULL,1994,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3,"Aïssa","Morin","2018-05-04 09:37:00","2018-05-04 09:41:00",NULL,NULL
241,"Martmart-003","Netherlands",31,"Animalia","Martes","Martes martes","---",NULL,NULL,3,"Requête","Request","true",2018,2012,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,67,"Réintroduction","Reintroduction",71,"Réintroduction","Reintroduction",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2008,NULL,2009,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3,"Aïssa","Morin","2018-05-03 14:42:00","2018-05-03 14:45:00",NULL,NULL
614,"Crepfoet-003","United Kingdom",177,"Plantae","Crepis","Crepis foetida","Crepis foetida foetida",NULL,NULL,3,"Requête","Request","false",2015,2011,NULL,"Pas d'info précise sur localité",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,67,"Réintroduction","Reintroduction",72,"CreDZO","Pop creation within extent of occurrence",NULL,NULL,NULL,30,"Non","No",30,"Non","No",2003,"0",2003,"0",26,"Arrêté","Stopped",34,30,NULL,NULL,NULL,"North Kent",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4,"Bruno","Colas","2018-07-16 14:20:00","2018-07-16 14:26:00",NULL,NULL
421,"Medifalc-001","Germany",79,"Plantae","Medicago","Medicago falcata","---",NULL,"commun-001",3,"Requête","Request","true",2018,2002,"Kiehl-etal-2006_RestorEcol_Restoration-calcareous-grasslands ; kiehl@wzw.tum.de","Dans il-00-00-18 : Uniquement les espèces étant à la fois ""target species"" (t in Table 5) and ""species proven to be transferred by hay onto restoration fields with hay"" (origin h dans Table 5). Prise en compte uniquement de la restoration sur le site éloigné (RF2526) de 800m par rapport à la réserve où est prélevé le matériel d'origine, l'autre site étant adjacent à la réserve donc est plutôt considéré comme de la gestion de site.",20,"Axé sur l'atténuation ","Mitigation-driven",NULL,"SO","SO",30,"Non","No","il-00-00-18 : ""For the re-creation of species-rich grasslands, on former arable land, suitable habitat conditions must be restored in order to enhance the establishment and long-term survival of target species, which are typical for ancient low-productive grasslands, and to prevent the spreading of nontarget species such as common arable weeds or potentially dominant ruderals"" ; + to study ""The effects of different restoration measures and management variants on the vegetation development of newly created calcareous grasslands"".","Menaces sur l'habitat",67,"Réintroduction","Reintroduction",72,"CreDZO","Pop creation within extent of occurrence",NULL,NULL,NULL,30,"Non","No",30,"Non","No",1993,"0",1993,"0",24,"Suivi post","Monitoring post-interventions",30,34,NULL,48.281,11.65,NULL,NULL,"0.8",34,"Oui","Yes",33,"Probable","Likely","du fait de la faible distance (800 m) et que ce sont des espèces de prairie susceptibles d'être dispersées assez facilement par le vent, les animaux, l'homme.","Our study has been carried out on four different restoration fields (RF) with areas of 1.3–3.2 ha that had been used for cultivation of barley and rye until 1992. [...]. RF 2526 was isolated between intensively cultivated arable fields in an open treeless landscape.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Restoration field RF 2526 in il 00-00-18",NULL,NULL,NULL,34,"Oui","Yes",39,"Nature","Nature",30,"Non","No","""Between end of July and beginning of September 1993, diaspore-containing fresh hay was cut in the nature reserve ca. 4 cm above soil surface""",30,"Non","No",NULL,30,"Non","No",30,"Non","No",30,"Non","No",NULL,41,"Aucun","None",30,"Non","No",64,"Peu détaillés","Briefly detailed",30,"Non","No",1,NULL,"il-00-00-18 : sheep grazing in late spring and late summer",9,34,"Oui","Yes",34,"Oui","Yes",30,"Non","No",30,"Non","No",30,"Non","No","il-00-00-18 : ""percentage cover of all phanerogam species""",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,34,"Oui","Yes",NULL,NULL,NULL,NULL,"il-00-00-18 : ""the transfer of autochthonous hay was a very efficient method to overcome dispersal limitation and to allow a quick establishment of target species"" ; ""hay transfer allowed not only quick establishment of target species during the initial restoration phase, but also their persistence over 9 years""",52,"Non exprimé","Not expressed",50,"Positif","Positive",50,"Positif","Positive",31,"N'est pas applicable","Not applicable",NULL,4,"Bruno","Colas","2018-07-04 14:31:00","2018-07-10 22:42:00","0101000020E6100000CDCCCCCCCC4C27408716D9CEF7234840",NULL
304,"Ursuarct-001","Austria",42,"Animalia","Ursus","Ursus arctos","---",NULL,NULL,3,"Requête","Request","true",2018,2011,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,67,"Réintroduction","Reintroduction",71,"Réintroduction","Reintroduction",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1989,NULL,1993,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Région de l'Ötscher",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3,"Aïssa","Morin","2018-05-15 09:34:00","2018-05-15 12:51:00",NULL,NULL
286,"Sciuvulg-001","Belgium",40,"Animalia","Sciurus","Sciurus vulgaris","---",NULL,NULL,3,"Requête","Request","true",2018,2012,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,67,"Réintroduction","Reintroduction",71,"Réintroduction","Reintroduction",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1987,NULL,1988,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Parc de Nachtegalen (Nachtegalenpark)",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3,"Aïssa","Morin","2018-05-11 13:40:00","2018-05-11 14:02:00",NULL,NULL
30,"Bisobona-002","Belarus",3,"Animalia","Bison","Bison bonasus","---",NULL,NULL,3,"Requête","Request","true",2018,2013,NULL,"Pays: Bielorussie
Région: Voblast de Minsk
Localité : Réserve de Biosphere de Berezinsky",20,"Axé sur l'atténuation ","Mitigation-driven",NULL,NULL,NULL,NULL,NULL,NULL,"Etudier les processus d'adaptation et de formation de (sous-)population vivant à l'état sauvage. 
Participer à la formation d'une seule métapopulation",NULL,67,"Réintroduction","Reintroduction",71,"Réintroduction","Reintroduction",NULL,NULL,NULL,30,"Non","No",30,"Non","No",1974,NULL,NULL,NULL,26,"Arrêté","Stopped",30,NULL,NULL,NULL,NULL,"Réserve de Berezinsky",NULL,NULL,NULL,NULL,NULL,33,"Probable","Likely",NULL,NULL,34,"Oui","Yes",34,"Oui","Yes",NULL,NULL,NULL,NULL,NULL,NULL,NULL,30,"Non","No",38,"Captif","Captivity",30,"Non","No",NULL,NULL,NULL,NULL,"qq mois",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,43,"Tous","All",NULL,NULL,NULL,63,"Moyennement détaillés","Moderately detailed",30,"Non","No",2,"11",NULL,38,34,"Oui","Yes",34,"Oui","Yes",34,"Oui","Yes",NULL,NULL,NULL,30,"Non","No",NULL,34,"Oui","Yes",NULL,NULL,NULL,34,"Oui","Yes",NULL,NULL,NULL,34,"Oui","Yes","Conflit avec les populations locales, du à des dommages sur les cultures",NULL,51,"Négatif","Negative",50,"Positif","Positive",52,"Non exprimé","Not expressed",51,"Négatif","Negative","Braconnage
Malnutrition
Vieillesse
Empoisonnement
Accident de traffic (collision)
Mort-né
Elimination 
Maladie du système cardio-vasculaire
Prédation",3,"Aïssa","Morin","2018-03-22 12:27:00","2018-05-18 15:13:00",NULL,NULL
1464,"Iberlini-001","France",546,"Plantae","Iberis","Iberis linifolia","---",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20,"Axé sur l'atténuation ","Mitigation-driven",NULL,NULL,NULL,30,"Non","No",NULL,NULL,NULL,NULL,NULL,72,"CreDZO","Pop creation within extent of occurrence",NULL,NULL,NULL,34,"Oui","Yes",30,"Non","No",2019,"0",NULL,NULL,NULL,NULL,NULL,30,30,NULL,45.741185,5.311361,"ENS « Etang de Bas et falaises des Ravières »",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4,"Bruno","Colas","2023-05-11 15:36:00","2023-05-11 15:39:00","0101000020E6100000DAFF006BD53E154094A46B26DFDE4640",False
961,"Crammari-001","France",336,"Plantae","Crambe","Crambe maritima","---",NULL,NULL,4,"Interrogation","Inquiry","false",2018,2015,NULL,NULL,19,"Axé sur la conservation","Conservation-driven",NULL,NULL,NULL,34,"Oui","Yes","Construction du Port 2000.
Sauvetage de la population vouée à destruction totale.",NULL,NULL,NULL,NULL,72,"CreDZO","Pop creation within extent of occurrence",NULL,NULL,NULL,30,"Non","No",30,"Non","No",2005,"0",2013,"0",24,"Suivi post","Monitoring post-interventions",30,30,NULL,49.467174,0.118115,"Grand Port Maritime du Havre",NULL,"5",34,"Oui","Yes",32,"Non probable","Unlikely","Destruction de la population d'origine.","Plage de galets",30,"Non","No",30,"Non","No",30,"Non","No",NULL,9,"National","National",34,"Oui","Yes",38,"Captif","Captivity",30,"Non","No",NULL,30,"Non","No","4 ans",34,"Oui","Yes",30,"Non","No",34,"Oui","Yes","Transplantation des pieds - Collecte des graines - Germination - Collecte pour semis in-situ",41,"Aucun","None",34,"Oui","Yes",62,"Assez détaillés","Fairly detailed",46,"Années","Years",3,NULL,NULL,NULL,34,"Oui","Yes",34,"Oui","Yes",34,"Oui","Yes",30,"Non","No",30,"Non","No",NULL,30,"Non","No",30,"Non","No",30,"Non","No",30,"Non","No",30,"Non","No",NULL,"Sur le plan expérimental : ne pas faire de plantations sur une plage en mouvement.",51,"Négatif","Negative",50,"Positif","Positive",53,"Neutre","Neutral",53,"Neutre","Neutral","Avancée successive de la plage de galets => ensevelissement des pieds.",6,"Anaël","Mayeur","2019-01-21 13:40:00","2019-05-29 15:23:00","0101000020E610000022C32ADEC83CBE3F50C58D5BCCBB4840",False
