"pk_population","pop_cod","country_pop","pk_species","kingdom","genus","species","subspecies","metapop","community","pk_init_info","init_info","init_info_en","publication","last_admin_check","most_recent_data","potentials","general_rem","pk_reason","reason","reason_en","justif_details","extinct_yr","extinct_yr_interval","pk_rescue","rescue","rescue_en","objectives","context_rem","pk_transloc","transloc","transloc_en","pk_altern","altern","altern_en","pk_reinfor","reinfor","reinfor_en","pk_clust","clust","clust_en","pk_separation","separation","separation_en","first_release","precision_first","last_release","precision_last","pk_phase","phase","phase_en","fk_multisite","fk_multi_sp","typ_rem","lat_pop","long_pop","lieu_dit","loc_rem","dist","pk_origin","origin","origin_en","pk_connex","connex","connex_en","isol_caus","pop_hab","pk_protec_first","protec_first","protec_first_en","pk_protec_last","protec_last","protec_last_en","pk_protec_csq","protec_csq","protec_csq_en","sit_rem","pk_legal_protect","legal_protect","legal_protect_en","pk_div_stag","div_stag","div_stag_en","pk_birth","birth","birth_en","pk_div_orig","div_orig","div_orig_en","biol_rem","pk_prep_hab","prep_hab","prep_hab_en","time_exsitu","pk_stage_change","stage_change","stage_change_en","pk_gen_prog","gen_prog","gen_prog_en","pk_increase","increase","increase_en","increase_meth","pk_env_conditioning","env_conditioning","env_conditioning_en","pk_sub_pops","sub_pops","sub_pops_en","pk_tech_det","tech_det","tech_det_en","pk_temp_spread","temp_spread","temp_spread_en","nb_releases","tot_nb","meth_rem","obs_max","pk_pop_abundance","pop_abundance","pop_abundance_en","pk_time_series","time_series","time_series_en","pk_founder_demo","founder_demo","founder_demo_en","pk_descend_demo","descend_demo","descend_demo_en","pk_pva","pva","pva_en","monit_rem","pk_founder_repro","founder_repro","founder_repro_en","pk_descend_repro","descend_repro","descend_repro_en","pk_dispersal","dispersal","dispersal_en","pk_ecosyst_csq","ecosyst_csq","ecosyst_csq_en","pk_ses_csq","ses_csq","ses_csq_en","det_csq","res_rem","pk_pop_eval","pop_eval","pop_eval_en","pk_experim_eval","experim_eval","experim_eval_en","pk_ecosyst_eval","ecosyst_eval","ecosyst_eval_en","pk_ses_eval","ses_eval","ses_eval_en","mortality","pk_user","firstname","lastname","date_creation","date_modif","geom_pop","pop_protected"
378,"Geniaetn-001","France",50,"Plantae","Genista","Genista aetnensis","---",NULL,NULL,5,"Citation","Citation","true",2021,2015,"CBN Corse, CBN Pq",NULL,20,"Axé sur l'atténuation ","Mitigation-driven",NULL,"SO","SO",30,"Non","No",NULL,NULL,NULL,NULL,NULL,70,"Renforcement","Reinforcement",74,"Dans la même population","Same population",30,"Non","No",30,"Non","No",1996,"0",1997,"0",26,"Arrêté","Stopped",34,30,NULL,41.89531,9.40128,"Solaro",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,30,"Non","No",NULL,NULL,NULL,30,"Non","No","Auto-renforcement",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,46,"Années","Years",2,"29",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"""espèce a disparu [...] sans qu'aucune régénaration naturelle ne se soit maintenue""",51,"Négatif","Negative",52,"Non exprimé","Not expressed",31,"N'est pas applicable","Not applicable",31,"N'est pas applicable","Not applicable",NULL,4,"Bruno","Colas","2018-06-26 09:13:00","2021-01-07 21:44:00","0101000020E6100000E813799274CD224011E4A08499F24440",False
401,"Silevelu-001","France",59,"Plantae","Silene","Silene velutina","---",NULL,NULL,5,"Citation","Citation","true",2021,2015,"CBN Corse, CBN Pq",NULL,20,"Axé sur l'atténuation ","Mitigation-driven",NULL,"SO","SO",30,"Non","No",NULL,NULL,NULL,NULL,NULL,70,"Renforcement","Reinforcement",74,"Dans la même population","Same population",30,"Non","No",30,"Non","No",1996,"0",1996,"0",NULL,NULL,NULL,30,30,"TypRenf pas clair",41.551232,9.315655,"Tamaricciu plage, à 30 m à droite du pin parasol",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,30,"Non","No",NULL,NULL,NULL,30,"Non","No","Auto-renforcement ;introductions de ""plants""",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,"4",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"bc-00-00-90 : ""espèce a disparu [...] sans qu'aucune régénaration naturelle ne se soit maintenue""",51,"Négatif","Negative",52,"Non exprimé","Not expressed",31,"N'est pas applicable","Not applicable",31,"N'est pas applicable","Not applicable",NULL,4,"Bruno","Colas","2018-06-28 15:20:00","2021-01-09 16:02:00","0101000020E610000044A33B889DA122401C412AC58EC64440",False
924,"Anthbarb-004","France",125,"Plantae","Anthyllis","Anthyllis barba-jovis","---",NULL,NULL,4,"Interrogation","Inquiry","false",2018,1997,NULL,"Parcelle n°3 dans aa-00-00-52 et autres",20,"Axé sur l'atténuation ","Mitigation-driven",NULL,NULL,NULL,30,"Non","No","Opérations de cicatrisation des milieux.","Piétinnement, Développement touristique, Constructions résidentielles => Isolement des populations.",67,"Réintroduction","Reintroduction",72,"CreDZO","Pop creation within extent of occurrence",NULL,NULL,NULL,30,"Non","No",30,"Non","No",1995,"0",NULL,NULL,25,"Post-interventions inconnues","Unknown post-interventions",30,34,NULL,43.17446,6.484958,"Forêt domaniale de la Môle, parcelle 3",NULL,NULL,34,"Oui","Yes",33,"Probable","Likely",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9,"National","National",30,"Non","No",39,"Nature","Nature",30,"Non","No",NULL,34,"Oui","Yes",NULL,30,"Non","No",30,"Non","No",30,"Non","No",NULL,41,"Aucun","None",NULL,NULL,NULL,64,"Peu détaillés","Briefly detailed",30,"Non","No",1,NULL,"Préparation par léger griffage du sol.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6,"Anaël","Mayeur","2018-12-04 10:45:00","2020-10-02 14:18:00","0101000020E6100000F9BB77D498F01940E73A8DB454964540",False
936,"Alcebien-003","France",300,"Plantae","Alcea","Alcea biennis","---",NULL,NULL,4,"Interrogation","Inquiry","false",2018,2018,NULL,NULL,19,"Axé sur la conservation","Conservation-driven",NULL,NULL,NULL,30,"Non","No",NULL,"mesures compensatoires du projet de liaison hydraulique Verdon – Saint
Cassien par la Société du Canal de Provence (SCP)",66,"Renforcement","Reinforcement",71,"Réintroduction","Reintroduction",76,"Dans autre(s) population(s)","Other population(s)",30,"Non","No",34,"Oui","Yes",2015,"0",NULL,NULL,24,"Suivi post","Monitoring post-interventions",34,30,NULL,43.416593,6.233668,"Barbeirane",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,30,"Non","No",30,"Non","No",30,"Non","No",NULL,8,"Régional","Regional",30,"Non","No",39,"Nature","Nature",NULL,NULL,NULL,NULL,34,"Oui","Yes","2 ans",30,"Non","No",30,"Non","No",30,"Non","No",NULL,41,"Aucun","None",30,"Non","No",62,"Assez détaillés","Fairly detailed",30,"Non","No",1,"1500",NULL,3,34,"Oui","Yes",34,"Oui","Yes",30,"Non","No",30,"Non","No",30,"Non","No",NULL,30,"Non","No",30,"Non","No",30,"Non","No",30,"Non","No",30,"Non","No",NULL,NULL,51,"Négatif","Negative",NULL,NULL,NULL,31,"N'est pas applicable","Not applicable",31,"N'est pas applicable","Not applicable","Retournement du sol",6,"Anaël","Mayeur","2018-12-19 10:33:00","2019-11-25 15:39:00","0101000020E6100000A67C08AA46EF18400B5F5FEB52B54540",False
905,"Jacomari-001","France",312,"Plantae","Jacobaea","Jacobaea maritima","---",NULL,NULL,4,"Interrogation","Inquiry","false",2018,1998,NULL,"Opérations de cicatrisation à Port-Cros.",20,"Axé sur l'atténuation ","Mitigation-driven","""Cette opération s'inscrit dans le cadre de la cicatrisation des zones dégradées par le piétinnement et du remplacement d'une végétation exotique banalisatrice par des représentants de la flore indigène.""",NULL,NULL,30,"Non","No","Cicatrisation des milieux.
Remplacement de la flore exogène par une flore indigène en zone fortement aménagée.","Mise en application du DOCOB Natura 2000 dans le secteur du village.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,30,"Non","No",30,"Non","No",1998,"0",NULL,NULL,25,"Post-interventions inconnues","Unknown post-interventions",30,34,NULL,NULL,NULL,"Port-Cros",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,34,"Oui","Yes",34,"Oui","Yes",30,"Non","No",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6,"Anaël","Mayeur","2018-11-28 11:37:00","2019-05-16 11:40:00",NULL,False
891,"Genilini-004","France",202,"Plantae","Genista","Genista linifolia","---",NULL,NULL,4,"Interrogation","Inquiry","false",2018,1994,NULL,NULL,20,"Axé sur l'atténuation ","Mitigation-driven",NULL,NULL,NULL,30,"Non","No","Créer par sécurité une population synthétique rassemblant différents génotypes varois afin de lutter contre la dérive génétique induite par fractionnement de l'aire.
Promouvoir la flore spontanée dans les actions de cicatrisation.",NULL,68,"Colonisation assistée","Assisted colonization",72,"CreDZO","Pop creation within extent of occurrence",NULL,NULL,NULL,30,"Non","No",30,"Non","No",1994,"0",NULL,NULL,25,"Post-interventions inconnues","Unknown post-interventions",30,30,NULL,43.066871,5.809193,NULL,"Précision : 100m",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9,"National","National",30,"Non","No",NULL,NULL,NULL,34,"Oui","Yes","7 origines naturelles (Var)",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,30,"Non","No",64,"Peu détaillés","Briefly detailed",30,"Non","No",1,"300",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6,"Anaël","Mayeur","2018-11-28 10:33:00","2020-10-07 08:56:00","0101000020E6100000C79BFC169D3C174081069B3A8F884540",False
857,"Orninuta-002","France",289,"Plantae","Ornithogalum","Ornithogalum nutans","---",NULL,NULL,4,"Interrogation","Inquiry","false",2018,2018,"DREAL Grand-Est","Sites 3 à 5",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2009,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6,"Anaël","Mayeur","2018-11-19 14:36:00","2019-05-15 08:54:00",NULL,False
554,"Callpalu-006","France",151,"Plantae","Calla","Calla palustris","---",NULL,NULL,3,"Requête","Request","true",2015,2007,"Serge Muller",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,67,"Réintroduction","Reintroduction",72,"CreDZO","Pop creation within extent of occurrence",NULL,NULL,NULL,30,"Non","No",30,"Non","No",1993,"0",1993,"0",24,"Suivi post","Monitoring post-interventions",30,30,NULL,48.079493,6.790999,"Beillard pond, altitude 610 m.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4,"Bruno","Colas","2018-07-12 15:57:00","2020-06-02 16:21:00","0101000020E6100000C1AC50A4FB291B4066A19DD32C0A4840",False
653,"Erucsupi-012","France",193,"Plantae","Erucastrum","Erucastrum supinum","---",NULL,NULL,4,"Interrogation","Inquiry","false",2016,2016,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2009,NULL,NULL,NULL,26,"Arrêté","Stopped",NULL,NULL,"Zones d'introduction inaccessibles sans embarcation",48.656,4.638,"",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4,"Bruno","Colas","2018-07-17 15:06:00","2018-07-17 15:08:00","0101000020E61000005A643BDF4F8D12408716D9CEF7534840",NULL
797,"Garinige-004","France",249,"Plantae","Garidella","Garidella nigellastrum","---",NULL,NULL,6,"Communication personnelle","Personnal communication","false",2015,2012,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,67,"Réintroduction","Reintroduction",72,"CreDZO","Pop creation within extent of occurrence",NULL,NULL,NULL,30,"Non","No",30,"Non","No",2011,"0",2011,"0",23,"En cours","Ongoing",34,30,NULL,NULL,NULL,"Vallon de Vallescure",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4,"Bruno","Colas","2018-08-29 15:26:00","2018-08-29 15:28:00",NULL,NULL
